County Name,Cases 03-04-2020,Cases 03-05-2020,Cases 03-06-2020,Cases 03-09-2020,Cases 03-10-2020,Cases 03-11-2020,Cases 03-12-2020,Cases 03-13-2020,Cases 03-15-2020,Cases 03-16-2020,Cases 03-17-2020,Cases 03-18-2020,Cases 03-19-2020,Cases 03-20-2020,Cases 03-21-2020,Cases 03-22-2020,Cases 03-23-2020,Cases 03-24-2020,Cases 03-25-2020,Cases 03-26-2020,Cases 03-27-2020,Cases 03-28-2020,Cases 03-29-2020,Cases 03-30-2020,Cases 03-31-2020,Cases 04-01-2020,Cases 04-02-2020,Cases 04-03-2020,Cases 04-04-2020,Cases 04-05-2020,Cases 04-06-2020,Cases 04-07-2020,Cases 04-08-2020,Cases 04-09-2020,Cases 04-10-2020,Cases 04-11-2020,Cases 04-12-2020,Cases 04-13-2020,Cases 04-14-2020,Cases 04-15-2020,Cases 04-16-2020,Cases 04-17-2020,Cases 04-18-2020,Cases 04-19-2020,Cases 04-20-2020,Cases 04-21-2020,Cases 04-22-2020,Cases 04-23-2020,Cases 04-24-2020,Cases 04-25-2020,Cases 04-26-2020,Cases 04-27-2020,Cases 04-28-2020,Cases 04-29-2020,Cases 04-30-2020,Cases 05-01-2020,Cases 05-02-2020,Cases 05-03-2020,Cases 05-04-2020,Cases 05-05-2020,Cases 05-06-2020,Cases 05-07-2020,Cases 05-08-2020,Cases 05-09-2020,Cases 05-10-2020,Cases 05-11-2020,Cases 05-12-2020,Cases 05-13-2020,Cases 05-14-2020,Cases 05-15-2020,Cases 05-16-2020,Cases 05-17-2020,Cases 05-18-2020,Cases 05-19-2020,Cases 05-20-2020,Cases 05-21-2020,Cases 05-22-2020,Cases 05-23-2020,Cases 05-24-2020,Cases 05-25-2020,Cases 05-26-2020,Cases 05-27-2020,Cases 05-28-2020,Cases 05-29-2020,Cases 05-30-2020,Cases 05-31-2020,Cases 06-01-2020,Cases 06-02-2020,Cases 06-03-2020,Cases 06-04-2020,Cases 06-05-2020,Cases 06-06-2020,Cases 06-07-2020,Cases 06-08-2020,Cases 06-09-2020,Cases 06-10-2020,Cases 06-11-2020,Cases 06-12-2020,Cases 06-13-2020,Cases 06-14-2020,Cases 06-15-2020,Cases 06-16-2020,Cases 06-17-2020,Cases 06-18-2020,Cases 06-19-2020,Cases 06-20-2020,Cases 06-21-2020,Cases 06-22-2020,Cases 06-23-2020,Cases 06-24-2020,Cases 06-25-2020,Cases 06-26-2020,Cases 06-27-2020,Cases 06-28-2020,Cases 06-29-2020,Cases 06-30-2020,Cases 07-01-2020,Cases 07-02-2020,Cases 07-03-2020,Cases 07-04-2020,Cases 07-05-2020,Cases 07-06-2020,Cases 07-07-2020,Cases 07-08-2020,Cases 07-09-2020,Cases 07-10-2020,Cases 07-11-2020,Cases 07-12-2020,Cases 07-13-2020,Cases 07-14-2020,Cases 07-15-2020,Cases 07-16-2020,Cases 07-17-2020,Cases 07-18-2020,Cases 07-19-2020,Cases 07-20-2020,Cases 07-21-2020,Cases 07-22-2020,Cases 07-23-2020,Cases 07-24-2020,Cases 07-25-2020,Cases 07-26-2020,Cases 07-27-2020,Cases 07-28-2020,Cases 07-29-2020,Cases 07-30-2020,Cases 07-31-2020,Cases 08-01-2020,Cases 08-02-2020,Cases 08-03-2020,Cases 08-04-2020,Cases 08-05-2020,Cases 08-06-2020,Cases 08-07-2020,Cases 08-08-2020,Cases 08-09-2020,Cases 08-10-2020,Cases 08-11-2020,Cases 08-12-2020,Cases 08-13-2020,Cases 08-14-2020,Cases 08-15-2020,Cases 08-16-2020,Cases 08-17-2020,Cases 08-18-2020,Cases 08-19-2020,Cases 08-20-2020,Cases 08-21-2020,Cases 08-22-2020,Cases 08-23-2020,Cases 08-24-2020,Cases 08-25-2020,Cases 08-26-2020,Cases 08-27-2020,Cases 08-28-2020,Cases 08-29-2020,Cases 08-30-2020,Cases 08-31-2020,Cases 09-01-2020,Cases 09-02-2020,Cases 09-03-2020,Cases 09-04-2020,Cases 09-05-2020,Cases 09-06-2020,Cases 09-07-2020,Cases 09-08-2020,Cases 09-09-2020,Cases 09-10-2020,Cases 09-11-2020,Cases 09-12-2020,Cases 09-13-2020,Cases 09-14-2020,Cases 09-15-2020,Cases 09-16-2020,Cases 09-17-2020,Cases 09-18-2020,Cases 09-19-2020,Cases 09-20-2020,Cases 09-21-2020,Cases 09-22-2020,Cases 09-23-2020,Cases 09-24-2020,Cases 09-25-2020,Cases 09-26-2020,Cases 09-27-2020,Cases 09-28-2020,Cases 09-29-2020,Cases 09-30-2020,Cases 10-01-2020,Cases 10-02-2020,Cases 10-03-2020,Cases 10-04-2020,Cases 10-05-2020,Cases 10-06-2020,Cases 10-07-2020,Cases 10-08-2020,Cases 10-09-2020,Cases 10-10-2020,Cases 10-11-2020,Cases 10-12-2020,Cases 10-13-2020,Cases 10-14-2020,Cases 10-15-2020,Cases 10-16-2020,Cases 10-17-2020,Cases 10-18-2020,Cases 10-19-2020,Cases 10-20-2020,Cases 10-21-2020,Cases 10-22-2020,Cases 10-23-2020,Cases 10-24-2020,Cases 10-25-2020,Cases 10-26-2020,Cases 10-27-2020,Cases 10-28-2020,Cases 10-29-2020,Cases 10-30-2020,Cases 10-31-2020,Cases 11-01-2020,Cases 11-02-2020,Cases 11-03-2020,Cases 11-04-2020,Cases 11-05-2020,Cases 11-06-2020,Cases 11-07-2020,Cases 11-08-2020,Cases 11-09-2020,Cases 11-10-2020,Cases 11-11-2020,Cases 11-12-2020,Cases 11-13-2020,Cases 11-14-2020,Cases 11-15-2020,Cases 11-16-2020,Cases 11-17-2020,Cases 11-18-2020,Cases 11-19-2020,Cases 11-20-2020,Cases 11-21-2020,Cases 11-22-2020,Cases 11-23-2020,Cases 11-24-2020,Cases 11-25-2020,Cases 11-26-2020,Cases 11-27-2020,Cases 11-28-2020,Cases 11-29-2020,Cases 11-30-2020,Cases 12-01-2020,Cases 12-02-2020,Cases 12-03-2020,Cases 12-04-2020,Cases 12-05-2020,Cases 12-06-2020,Cases 12-07-2020,Cases 12-08-2020,Cases 12-09-2020,Cases 12-10-2020,Cases 12-11-2020,Cases 12-12-2020,Cases 12-13-2020,Cases 12-14-2020,Cases 12-15-2020,Cases 12-16-2020,Cases 12-17-2020,Cases 12-18-2020,Cases 12-19-2020,Cases 12-20-2020,Cases 12-21-2020,Cases 12-22-2020,Cases 12-23-2020,Cases 12-24-2020,Cases 12-25-2020,Cases 12-26-2020,Cases 12-27-2020,Cases 12-28-2020,Cases 12-29-2020,Cases 12-30-2020,Cases 12-31-2020,Cases 01-01-2021,Cases 01-02-2021,Cases 01-03-2021,Cases 01-04-2021,Cases 01-05-2021,Cases 01-06-2021,Cases 01-07-2021,Cases 01-08-2021,Cases 01-09-2021,Cases 01-10-2021,Cases 01-11-2021,Cases 01-12-2021,Cases 01-13-2021,Cases 01-14-2021,Cases 01-15-2021,Cases 01-16-2021,Cases 01-17-2021,Cases 01-18-2021,Cases 01-19-2021,Cases 01-20-2021,Cases 01-21-2021,Cases 01-22-2021,Cases 01-23-2021,Cases 01-24-2021,Cases 01-25-2021,Cases 01-26-2021,Cases 01-27-2021,Cases 01-28-2021,Cases 01-29-2021,Cases 01-30-2021,Cases 01-31-2021,Cases 02-01-2021,Cases 02-02-2021,Cases 02-03-2021,Cases 02-04-2021,Cases 02-05-2021,Cases 02-06-2021,Cases 02-07-2021,Cases 02-08-2021,Cases 02-09-2021,Cases 02-10-2021,Cases 02-11-2021,Cases 02-12-2021
Bexar,0,0,0,0,0,0,0,0,3,3,3,4,6,12,24,24,24,57,69,84,113,125,140,157,168,207,229,254,342,384,410,456,503,554,615,665,723,772,794,815,890,918,959,992,1015,1029,1080,1126,1167,1195,1231,1254,1275,1307,1326,1374,1477,1585,1613,1652,1677,1761,1805,1835,1901,1901,1920,1942,1976,2041,2120,2120,2120,2192,2278,2322,2371,2392,2418,2442,2449,2480,2525,2583,2636,2825,2830,2839,2882,2953,3018,3143,3290,3311,3333,3513,3648,3840,4012,4242,4393,4437,4876,5142,5550,5962,6344,6882,7156,7467,7814,8452,8857,9652,10147,10797,12065,12504,12878,14212,14553,14751,15102,15880,16725,17679,18602,19137,19648,20213,17458,17912,23180,23639,24506,26491,26861,27925,28776,29492,29826,30319,30529,30570,31804,32486,33515,33935,34185,34120,34156,34238,34473,34687,34914,35037,35205,35303,35437,35673,35823,35920,36043,36086,36131,36217,36217,36484,36484,36903,36987,37060,37156,37251,37404,37641,37814,37919,37937,38136,38327,38467,38542,38642,38849,38849,39010,39108,39159,39262,39320,40820,40898,40993,41116,41219,41340,41486,43667,43738,43903,44008,44162,44347,44416,46829,46880,47270,47395,47484,47566,47680,48110,48170,48287,48447,48553,48678,48678,48786,48828,48938,49004,49155,49297,49430,51716,51802,51876,52019,52159,52335,52485,52607,52729,52827,53053,53208,53340,53559,53718,53840,54050,54183,54310,54441,54572,57088,57422,57645,57645,58073,58336,58596,58784,58930,59017,59220,59576,60372,60727,61263,61871,62701,63521,63521,63521,65017,66492,67510,67775,68920,69412,70588,71032,71991,73091,74076,74544,75471,76370,77112,77680,78199,79363,80456,81690,82328,82832,84068,85208,86609,87937,87937,87937,87937,91865,92821,94625,95660,95660,95660,98797,100824,101842,103455,105091,105866,106616,107783,110501,111856,113878,114768,116368,118968,121565,123489,123489,126730,127337,129680,131734,133295,133621,135648,136221,137416,139020,140464,142444,145599,147855,148996,149858,150595,152283,152736,154608,154766,156051,156544,157334
Collin,0,0,0,1,3,3,3,3,6,6,6,6,7,12,14,21,24,38,45,53,88,118,128,134,160,184,184,227,256,256,287,306,343,378,406,425,441,453,472,477,494,505,521,522,527,544,570,584,609,639,654,663,676,692,710,724,766,784,789,804,828,839,857,887,901,918,939,963,978,993,1008,1016,1028,1047,1073,1090,1118,1132,1136,1151,1157,1189,1217,1236,1278,1297,1312,1312,1346,1388,1430,1447,1447,1447,1528,1546,1553,1560,1638,1647,1667,1787,1866,1967,2026,2064,2189,2223,2250,2359,2449,2486,2532,2671,2763,2882,2997,3114,3199,3321,3409,3521,3707,3825,3948,4108,4308,4459,4533,4685,4800,4934,5079,5154,5291,5374,5456,5614,5748,5571,5682,5762,5789,5938,6147,6177,6253,6353,6400,6403,6421,6738,6857,7074,7268,7439,7654,7833,8052,8313,8445,9612,10007,10006,10169,10379,10412,10451,10451,10451,10451,10474,10570,10785,10812,10889,10946,10989,11054,11119,11198,11306,11424,11481,11534,11632,11676,11734,11804,11986,12001,12239,12369,12482,12599,12760,12843,12966,13011,13060,13210,13310,13471,13513,13537,13770,13825,13922,14109,14154,15548,15568,15610,15736,15814,15923,16006,16151,16208,16282,16384,16488,16588,16751,16862,16937,16937,17048,17122,17248,17443,17611,17690,17768,17883,18015,18247,18362,18635,18748,18844,18905,19189,19480,19701,19810,20165,20313,20460,20888,21034,21264,21431,21665,21665,21689,21983,22337,22369,22691,23381,23784,24325,24571,24882,25153,25566,26192,26600,26990,27553,27848,28105,28547,29239,29554,29797,30232,30763,31269,31856,32282,32868,33522,34177,34821,35482,35873,36290,37007,37966,39079,39876,39876,40661,41137,41496,42393,42873,43368,44171,44734,45674,46083,47080,47851,48488,48923,49684,50312,51148,51840,52566,53282,53570,54209,54797,55352,56146,56499,56978,57759,58532,58763,59538,59705,60378,60995,61523,61854,62180,62986,63484,64154,64433,64872,65160,65423,65679,66189,66418,66987,67278
Dallas,0,0,0,0,0,2,3,3,8,8,9,15,20,22,30,30,33,131,169,303,367,367,439,488,549,631,731,831,921,1015,1112,1155,1261,1324,1432,1537,1644,1723,1788,1877,1986,2066,2190,2324,2428,2512,2602,2683,2763,2834,2909,3014,3105,3240,3352,3531,3718,3899,4133,4370,4623,4869,5120,5369,5619,5870,6123,6359,6602,6837,7036,7250,7455,7679,7904,7904,8273,8477,8649,8827,8998,9188,9385,9587,9787,10006,10234,10462,10719,10958,11243,11541,11830,12093,12347,12645,12945,13257,13585,13930,14232,14537,14843,15256,15648,16042,16437,16845,17299,17744,18135,18538,19034,19595,20165,20737,21338,21882,22590,23675,24778,25840,27054,28131,29160,30361,31525,32626,33800,34914,35914,36969,37996,39191,40222,41266,42292,43026,43439,44087,44746,46013,46813,47239,48028,48732,49269,49976,50590,51108,51490,52131,52639,52869,53291,53831,54674,55255,55553,55787,56428,57313,58067,63428,65278,66065,66464,66772,67486,68572,68904,69086,69303,69881,70100,70376,70810,71170,71630,72252,72610,72860,73055,73453,73700,73961,74100,74476,74628,74887,75052,75208,75648,75838,76149,76607,76962,77118,77889,78205,78377,78723,79426,80605,80978,81175,81372,82161,82410,82410,82918,83178,83795,84245,84491,84834,85032,85451,85911,86329,86775,87381,87835,88372,88834,89433,89987,90318,90790,91313,91664,92197,92845,93548,93939,94358,94837,95402,96072,96694,97398,97875,98473,99160,99761,100628,101282,102089,103184,104451,105377,105788,106287,107741,109022,110717,111174,111960,113764,115410,117151,118962,119483,120999,122184,122184,122184,122923,126006,126690,127786,129193,130830,131479,132890,134677,136283,137143,138233,139950,141303,141972,144523,146042,147591,149533,150509,152447,152447,154611,156266,158354,160189,160189,160189,161278,161278,167900,168782,170747,172165,172165,172165,178174,179594,182156,183974,186181,188287,190580,192567,194380,197359,199948,201744,203897,206329,207640,207640,208991,212188,213600,215443,216968,218039,219515,221012,222409,223788,225282,226452,227769,229090,230395,231411,232200,233353,234210,235040,235738,236925,237943,238774
Denton,0,0,0,0,0,0,0,0,0,0,1,4,4,6,11,12,12,30,30,70,83,137,148,165,191,206,231,254,273,288,304,337,366,398,426,454,474,482,507,521,547,564,585,592,593,598,619,644,661,680,702,713,725,738,748,765,786,799,803,806,832,846,872,902,914,922,946,968,989,1016,1040,1051,1069,1088,1116,1161,1188,1205,1212,1224,1233,1255,1285,1318,1329,1357,1373,1398,1416,1435,1454,1467,1486,1500,1524,1559,1599,1632,1687,1719,1736,1772,1812,1893,1980,2054,2113,2163,2219,2302,2417,2494,2581,2630,2670,2740,2845,2951,3032,3184,3279,3338,3403,3459,3582,3697,3810,3937,4049,4162,4316,4467,4605,4765,4887,4968,5098,5316,5544,5723,5915,6043,6121,6208,6331,6493,6681,6803,6894,6938,7032,7127,7257,7374,7519,7586,7644,7745,7867,7959,8077,8214,8300,8300,8427,8584,8690,8841,8950,9095,9095,9235,9406,9544,9745,9875,9994,9994,10125,10239,10340,10422,10514,10588,10588,10639,10766,10847,10916,10977,11014,11014,11130,11225,11317,11382,11441,11501,11501,11607,11702,11770,11861,11950,11985,11985,12058,12148,12242,12319,12383,12425,12425,12508,12567,12646,12720,12828,12864,12864,12960,13047,13192,13306,13463,13547,13547,13661,13773,13904,14002,14157,14260,14260,14427,14547,14672,14769,14884,14978,14978,15139,15272,15415,15566,15737,15777,15777,15967,16146,16350,16491,16675,16886,16886,17157,17347,17553,17837,18141,18382,18382,18714,19019,19358,19358,19608,19755,19755,20052,20383,20741,21122,21576,21903,21903,22398,22856,23479,24091,24815,25183,25183,25865,26582,27122,27750,28256,28551,28551,29007,29373,29860,29860,29860,30268,30268,30638,31269,31722,32123,32123,32615,32615,32974,33392,33870,34382,34815,35111,35111,35502,35964,36467,36848,37193,37473,37473,37473,38212,38799,39347,39818,39977,39977,40347,40861,41295,41771,42166,42349,42349,42735,43090,43501,43779,44054,44221,44221,44622,45032,45500,45907
El Paso,0,0,0,0,0,0,0,0,1,1,3,3,3,3,6,6,6,7,11,21,21,31,35,40,46,50,68,78,96,106,115,125,153,192,225,252,269,292,300,346,393,451,482,505,531,540,587,645,674,706,780,802,829,857,887,924,961,986,998,1029,1080,1119,1190,1276,1322,1340,1348,1413,1456,1607,1655,1726,1772,1852,1930,2046,2160,2265,2340,2376,2393,2461,2569,2623,2704,2764,2794,2833,2872,3069,3213,3298,3376,3376,3512,3582,3650,3695,3794,3834,3911,3948,3999,4088,4178,4340,4488,4553,4677,4809,4984,5217,5330,5614,5745,5928,6124,6389,6665,6953,6953,7461,7642,8035,8385,8746,9099,9510,9716,9953,10298,10638,10843,11132,11573,11769,12041,12297,12501,12750,12971,13240,13240,13552,13807,13939,14276,14410,14712,14914,15142,15427,15596,15908,16040,16308,16396,16936,17210,17378,17632,18079,18350,18486,18682,18914,19057,19177,19316,19396,19554,19622,19753,19925,20072,20217,20350,20460,20539,20611,20686,20686,20850,20939,21093,21187,21259,21335,21335,21559,21621,21731,21826,21826,22078,22179,22329,22476,22652,22821,22821,23207,23388,23604,23784,23905,24170,24446,24666,24999,25206,25569,25793,26030,26432,26969,27394,27953,28499,28499,29384,29887,29887,31478,32060,32758,33326,34035,34760,36025,37263,38554,39326,40887,42332,43425,45039,47052,48885,50114,52317,54380,56355,58429,59852,61104,63161,64158,65651,67484,68804,70575,72238,73340,74973,76075,77186,77977,79162,80291,81179,81511,82809,83451,83993,84683,85318,85696,86172,86752,87799,88491,89100,89540,89762,90222,90748,91150,91468,91868,92584,92810,93223,93455,93859,94240,94530,94918,95177,95544,95758,96078,96428,96722,97053,97178,97178,97710,98017,98540,98906,99327,99672,99889,100421,100944,101451,102055,102889,103197,103787,104085,104714,105347,105769,106312,106677,107191,107552,108005,108561,109108,109108,110125,110125,111061,111689,112259,112652,113145,113637,113637,114386,114819,115300,115847,116263,116644,117039,117370,117743,118248,118715
Fort Bend,0,0,1,6,6,6,6,6,9,9,9,9,9,11,11,11,11,29,46,54,86,101,101,119,119,163,194,221,255,268,280,318,417,437,485,518,536,536,543,627,627,656,755,755,783,799,808,870,889,905,919,952,957,973,1018,1052,1079,1133,1183,1187,1245,1287,1332,1357,1370,1385,1404,1404,1452,1471,1510,1558,1559,1559,1581,1621,1652,1661,1676,1685,1732,1732,1766,1783,1832,1861,1881,1881,1916,1951,2032,2117,2117,2117,2138,2225,2299,2320,2358,2385,2385,2402,2496,2667,2726,2882,2951,3069,3132,3176,3267,3397,3645,3716,3716,3722,3782,3868,3999,4120,4120,4120,4286,4346,4413,4524,4617,4758,4799,5015,5211,5284,5371,5689,5979,5979,5995,6130,6239,6352,6460,6530,6530,6679,6772,6852,6960,7082,7191,7191,7287,7867,8559,8878,9151,9533,9533,10021,10335,10487,10823,11369,12228,12228,12623,13034,13605,13688,13794,14034,14034,14640,14645,14761,14761,14845,14933,14933,14957,14983,15036,15081,15100,15144,15144,15144,15158,15249,15331,15352,15423,15423,15471,15499,15625,15678,15734,15789,15789,15814,15908,16049,16102,16167,16207,16207,16295,16387,16472,16494,16572,16603,16603,16620,16642,16703,16712,16797,16880,16880,16912,16966,17019,17038,17062,17126,17126,17157,17238,17351,17362,17392,17392,17392,17486,17556,17585,17634,17676,17735,17735,17763,17807,17862,18025,18090,18135,18135,18135,18249,18249,18410,18620,18620,18761,18785,18873,18972,19095,19223,19352,19352,19580,19718,19978,19978,19978,20440,20440,20567,20739,21502,22104,23389,24372,24372,24683,25156,26230,26451,26584,26716,26716,26894,26975,27712,27935,28352,28452,28452,28580,29897,30249,30249,30249,30249,30249,30653,31865,32211,32377,32377,32377,32377,32579,33299,34661,35053,35393,35393,35393,35769,36733,37080,37939,38728,38728,38728,39133,40446,41211,41323,41588,41588,41588,41994,42882,43233,43681,44144,44144,44144,44520,45547,45862,46148,46474,46474,46474,46775,47283,47662,48166
Harris,0,0,4,5,5,5,7,7,10,10,10,10,10,24,26,27,27,54,134,185,203,229,445,526,563,680,847,955,1106,1284,1395,1809,2146,2341,3047,3261,3561,3629,3747,3907,4097,4306,4460,4653,4823,4977,5143,5211,5330,5482,5628,5729,5827,5986,6161,6356,6551,6708,6838,6967,7128,7244,7377,7594,7803,7878,8176,8416,8621,8817,9050,9126,9465,9635,9859,10095,10283,10526,10770,10921,10995,11281,11542,11770,12009,12220,12276,12664,13027,13268,13603,13940,14423,14586,14918,15238,15552,15864,16188,16568,16778,17282,17707,18157,18552,19739,20874,21053,23047,24421,25786,27017,28255,29163,29276,30729,31422,32859,34108,35316,35913,36597,37776,39311,40012,40919,42000,43939,45368,47369,49027,50370,51969,53555,54806,55769,57095,58480,59924,61416,62619,64113,65349,66195,67660,69126,70850,72964,74884,76642,78105,79543,80914,81919,83183,84600,85757,86563,87505,88494,89425,90574,91698,92253,92944,93872,94676,95631,96658,97745,98506,99290,100171,101077,101670,103088,104649,105757,106595,107490,108085,108819,109834,110762,111525,111525,112039,112762,113504,114761,115149,116172,117568,120336,120771,121628,122445,123264,123817,137946,138473,139017,139681,140532,140868,141353,141707,142315,142681,143530,146234,147298,147808,148235,148769,149394,149771,150176,150626,151161,151463,151880,152623,152977,153571,153955,154367,154765,155192,156035,156742,157392,158379,158758,159272,159617,160532,160984,161613,162306,162807,163287,163845,164445,165252,165967,166545,167331,167956,168746,170835,171916,172763,173436,174493,175414,175959,177466,178811,179911,181361,182192,183252,185304,187163,187759,187867,187932,190631,191513,192127,193089,194899,195558,196658,198961,199597,200397,201496,202861,204850,205928,207406,208737,210362,212686,214180,215779,217086,219265,221860,222931,224245,225102,225365,225443,231707,233330,234736,236673,237727,239657,243059,245551,247458,249488,250854,253612,256046,259773,262525,266525,267729,269089,274899,278312,281422,284917,286356,287753,290249,293271,294266,296521,297629,301173,304333,306495,308902,311665,314697,317654,319800,320744,323408,325010,326248,327079,328426,329167,329576,330256,331837
Hidalgo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,7,11,18,27,28,38,46,62,79,86,86,99,113,113,139,146,181,188,190,198,217,225,235,242,255,261,268,275,281,290,299,303,308,310,315,324,334,339,340,341,353,353,359,368,377,387,389,394,403,409,417,425,425,440,448,457,467,472,482,482,497,504,516,537,537,548,560,575,584,610,634,679,679,701,701,759,804,842,912,967,967,1050,1112,1255,1347,1447,1556,1556,1689,1882,2130,2503,2713,2892,2892,3294,3542,3982,4252,4520,4798,4798,5345,5345,5447,5782,6060,7334,7727,8040,8040,8197,8593,9244,10492,10943,12263,12787,13126,13776,14589,15153,15153,15153,15759,16088,16375,16646,17006,17006,17353,17751,18249,18699,19103,19534,19534,19741,20148,20431,20767,21275,21806,21806,22013,22013,22826,23116,23513,23993,23993,24494,25169,25951,26606,27077,27252,27252,27408,27538,27669,27908,28178,28369,28369,28591,28732,28893,29082,29082,29335,29335,29446,29519,29721,30046,30375,30577,30577,30577,30743,30743,31162,31371,31562,31562,31562,31677,31835,31984,32198,32406,32406,32406,32620,32813,33018,33148,33352,33352,33352,33495,33614,33788,34034,34179,34179,34179,34179,34343,34343,34799,34970,34970,34970,35100,35281,35485,35662,35785,35785,35785,35945,36147,36277,36493,36686,36686,36686,36884,37031,37214,37214,37413,37413,37413,37580,38006,38687,39366,40085,40085,40085,40085,41469,42232,42232,42844,42844,42844,43020,43546,44153,44879,45387,45387,45387,45387,45773,46449,46449,47109,47109,47562,47562,48009,33941,33941,34126,34126,34126,34380,34510,34658,34827,34827,34827,34827,35005,35157,35499,35773,35773,35773,35773,35906,36291,36677,37175,37834,37834,37834,38185,38432,38937,39438,39835,39835,39835,39835,40282,40774,41244,41623,41623,41623,42009,42293,42693,43097,43548,43548,43548,43948,44503,45055,45396,45979,45979,45979,46643,47007,47246,47619
Tarrant,0,0,0,0,0,1,1,1,3,3,3,5,5,5,8,8,9,57,71,90,100,114,139,139,175,273,288,325,383,404,418,452,517,588,637,705,787,806,876,929,990,1093,1175,1229,1242,1249,1333,1430,1559,1706,1836,1947,2019,2088,2149,2246,2388,2503,2584,2624,2686,2813,2956,3127,3210,3695,3745,3810,4076,4211,4266,4350,4447,4559,4643,4711,4803,4899,4951,4977,4977,5039,5190,5294,5379,5463,5513,5534,5623,5761,5863,5985,6073,6150,6369,6433,6599,6824,7120,7253,7334,7498,7642,7822,8099,8331,8511,8955,9126,9386,9846,10363,10706,11083,11476,11739,12344,12950,13423,13423,13423,14008,14828,15585,16180,16700,17334,17757,18161,18483,19014,19871,20433,20907,21195,21617,22002,22665,23536,23967,24562,25146,25499,25739,26315,27151,27823,28410,28871,29054,29357,30162,30227,30650,30922,31687,32177,32469,32666,33070,33403,33874,35310,35997,36239,36690,37020,37210,37407,37622,37834,37924,38283,38451,38644,38846,39048,39216,39334,39488,39659,39819,39973,40222,40222,40222,40443,40793,40950,41118,41273,41567,41823,42208,42586,42816,43055,43364,43692,43994,44268,44590,45101,45431,45671,45851,46080,46527,46850,47107,47411,47793,48275,48483,48707,49145,49637,49915,50250,50933,51222,51676,52112,52634,53128,53629,54025,54332,54727,55240,55900,56578,57238,57833,58255,58656,59189,59672,60283,60779,61436,61882,62453,63030,63825,64644,65426,65777,67192,68042,68726,69611,70791,71491,72809,73617,74194,76140,77738,78909,80157,81600,82586,83867,85010,85010,85010,85010,86052,89224,90440,91981,93592,94862,95882,97322,98935,99647,100887,101836,103113,104222,105508,106691,107721,109273,110647,112372,113973,114617,115949,117237,118641,118641,118641,118641,120506,125947,127256,128610,131146,131146,134011,137518,139752,141326,144103,146029,148477,150990,153472,155378,156876,158423,160366,162386,165131,166474,169160,171001,172771,174298,175778,177632,179074,180135,181207,182189,184450,185478,187038,188036,189293,190056,191367,192668,193869,194962,195799,196739,197551,198635,199429
Travis,0,0,0,0,0,0,0,0,2,2,3,4,7,21,22,22,22,79,98,119,137,160,179,200,206,244,305,351,430,460,484,502,554,597,642,690,744,774,856,900,977,1029,1074,1092,1108,1174,1233,1263,1312,1379,1396,1412,1464,1539,1591,1654,1683,1714,1756,1816,1876,1946,2002,2071,2095,2127,2171,2235,2288,2345,2381,2425,2459,2537,2595,2644,2712,2761,2788,2847,2933,2984,3057,3124,3186,3232,3272,3360,3433,3501,3562,3616,3662,3697,3815,3976,4109,4238,4314,4461,4545,4664,4771,4991,4991,5286,5704,6210,6339,6596,6914,7097,7097,7825,8461,8969,9527,10124,10695,11009,11131,11679,11926,12408,13161,13864,14304,14622,14788,15445,15998,16570,16983,17215,17454,17646,17791,18394,18696,18939,19177,19401,19480,19720,19952,20187,20465,20745,20967,21214,21549,21822,22024,22256,22480,22602,22724,22953,23249,23421,23718,23870,24008,24144,24409,24759,25062,25353,25559,25640,25736,25890,26017,26117,26239,26307,26316,26434,26516,26523,26622,26726,26854,26931,26969,27038,27124,27206,27424,27525,27578,27701,27776,27961,28103,28212,28375,28438,28441,28596,28643,28745,28904,29073,29130,29252,29343,29421,29514,29576,29647,29750,29799,29857,29952,29997,30075,30165,30199,30265,30398,30398,30601,30688,30797,30908,30956,31053,31159,31228,31327,31411,31493,31551,31653,31775,31851,31943,32024,32143,32220,32303,32451,32605,32748,32928,33016,33168,33382,33559,33769,33960,34204,34504,34612,34769,35020,35326,35616,35984,36175,36436,36754,37120,37238,37238,37666,37898,38045,38377,38757,39037,39267,39566,39925,40209,40481,40836,41092,41519,41901,42136,42441,42856,43469,43836,44381,44796,45070,45492,46029,46701,47076,47076,47076,48208,48424,48951,49648,50194,50595,50595,51558,51956,52708,53272,53935,54814,55406,55870,55870,56825,56825,58286,59394,60084,60379,60782,61468,62302,63036,63751,64291,64658,64963,65507,66209,66859,67566,68020,68290,68731,69408,70089,70631,71164,71426,71623,71831,72279,72625,72972,73259
